OBJECTID,CSA2010,vacant10,vacant11,vacant12,vacant13,vacant14,vacant15,vacant16,vacant17,vacant18,vacant19,vacant20,CSA2020,vacant21,vacant22,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,4.31,4.69,5.095426719,5.244252874,5.743424584,6.01180891,5.141342756,5.695201266,5.99402355422746,6.67826086956522,6.4695652173913,Allendale/Irvington/S. Hilton,5.965217391,5.28695652173913,63770461.7803955,38770.165571317
2,Beechfield/Ten Hills/West Hills,0.28,0.41,0.750208391,0.41678244,0.609080842,0.88593577,0.775838182,0.970066519,1.02549889135255,0.775623268698061,0.554016620498615,Beechfield/Ten Hills/West Hills,0.443213296,0.498614958448753,47882527.7113037,37524.9505335419
3,Belair-Edison,1.45,1.67,2.002542912,2.541699762,2.731893266,3.049555273,2.811755361,3.749602796,3.63838576421989,3.43293070565798,3.3375715193897,Belair-Edison,3.083280356,2.62237762237762,44950030.47229,31307.3148435252
4,Brooklyn/Curtis Bay/Hawkins Point,3.74,4.16,4.981203008,5.45112782,5.930807249,6.166156743,6.276445698,7.05052879,7.82608695652174,7.95693891879242,8.07395272642172,Brooklyn/Curtis Bay/Hawkins Point,8.073952726,7.6761057804821,176077742.748535,150987.703639068
5,Canton,0.92,0.67,0.770186335,0.571570577,0.471113315,0.396727002,0.272479564,0.421000495,0.470529965329371,0.470763131813677,0.396432111000991,Canton,0.346878097,0.346878097125867,15408538.2254028,23338.6119473758
6,Cedonia/Frankford,0.67,0.61,1.097677378,1.287758347,1.654733492,1.909307876,1.399046105,1.335028608,1.20788302606484,1.28673550436855,1.19142176330421,Cedonia/Frankford,1.064336775,0.905480540111199,71541340.3054199,39962.5498346627
7,Cherry Hill,3.44,3.71,3.959390863,4.06504065,4.87804878,5.182926829,5.279187817,5.583756345,6.09137055837564,6.08519269776876,5.98377281947262,Cherry Hill,6.085192698,5.88235294117647,29144181.3508301,22305.3020666166
8,Chinquapin Park/Belvedere,0.33,0.57,0.669393827,1.00409074,1.561918929,1.710673113,1.301115242,1.598513011,1.41263940520446,1.04283054003724,0.819366852886406,Chinquapin Park/Belvedere,0.931098696,0.819366852886406,21022590.1298218,21705.4116303026
9,Claremont/Armistead,0,0.25,0.268456376,0.531914894,0.220555801,0.352889281,0.391304348,0.219490781,0.131694468832309,0.131694468832309,0.131694468832309,Orchard Ridge/Armistead,0.087796313,0.131694468832309,61243774.4208984,40104.4159801398
10,Clifton-Berea,24.5,23.7,24.14520895,25.0688122,26.03208556,26.73796791,25.02696872,26.57192076,26.7011197243755,24.49773169151,23.698422985526,Clifton-Berea,22.46705552,19.9611147116008,23285233.9256592,24022.7646208602
11,Cross-Country/Cheswolde,0.14,0.2,0.102564103,0.102564103,0.17088175,0.1367054,0.136939404,0.068469702,0.102704553235193,0.138169257340242,0.172711571675302,Cross-Country/Cheswolde,0.172711572,0.207253886010363,38222018.3166504,26788.3018783318
12,Dickeyville/Franklintown,1.5,1.44,4.716981132,2.48447205,2.167182663,1.857585139,1.547987616,1.552795031,1.24223602484472,1.5527950310559,1.86335403726708,Dickeyville/Franklintown,1.552795031,1.24223602484472,35719112.4141846,31637.8174239346
13,Dorchester/Ashburton,3.3,3.21,3.334308277,2.862149533,3.097603741,3.477498539,3.569338795,3.452311293,3.4815681685196,3.5056967572305,3.18434122115104,Dorchester/Ashburton,2.892199825,2.65848670756646,34118277.1813965,27136.0757115035
14,Downtown/Seton Hill,8.36,8.94,8.579881657,9.925925926,10.18922853,11.64483261,15.9025788,11.90817791,11.1908177905308,10.8416547788873,9.27246790299572,Downtown/Seton Hill,9.843081312,9.98573466476462,20736554.4072266,21565.8593945825
15,Edmondson Village,2.6,2.85,3.389830508,3.177966102,3.744259979,3.426351113,3.145987982,3.852951573,4.27712972781902,4.51977401129944,3.88418079096045,Edmondson Village,3.460451977,3.21327683615819,23563061.0448608,21504.5513578788
16,Fells Point,0.99,1.12,0.932286555,1.225490196,0.830078125,0.756835938,1.88034188,0.983213429,1.03117505995204,0.934803451581975,0.88686481303931,Fells Point,0.790987536,0.767018216682646,12620515.7177734,27670.169915882
17,Forest Park/Walbrook,5.62,5.73,6.391108024,6.210964608,6.043765196,6.321639458,6.456091635,6.382240721,6.45161290322581,6.72443674176776,5.89254766031196,Forest Park/Walbrook,5.47660312,4.8526863084922,37200535.0299072,36886.8997811509
18,Glen-Fallstaff,0.68,0.79,0.92265943,1.085187195,1.102446894,1.344447432,1.353912808,1.273367651,1.16499593606069,1.21951219512195,1.11111111111111,Glen-Fallstaff,0.921409214,0.975609756097561,46995477.4779663,48549.0046178133
19,Greater Charles Village/Barclay,9.58,8.95,7.588075881,6.767731456,5.650638413,5.406139636,7.380762057,4.551503859,4.33856800638808,4.26666666666667,4.16,Greater Charles Village/Barclay,3.411513859,3.17333333333333,27051213.4561768,26454.2692113245
20,Greater Govans,4.06,4,4.479613734,4.505229284,4.87804878,4.958456178,4.340836013,4.445634708,4.28494911622925,4.05042918454936,3.59442060085837,Greater Govans,3.433476395,2.9774678111588,22698495.7171631,22982.125715103
21,Greater Mondawmin,10.29,10.27,10.92657343,11.35701805,11.96283391,12.31126597,13.85065886,13.17715959,13.1478770131772,13.8718173836699,13.9303482587065,Greater Mondawmin,13.78402107,12.7011998829382,33663448.2787476,31136.7318903725
22,Greater Roland Park/Poplar Hill,0.1,0.1,0.066203244,0.033079722,0.066159444,0.066159444,0.033101622,0.099304866,0.132406487917908,0.132013201320132,0.099009900990099,Greater Roland Park/Poplar Hill,0.0330033,0.033003300330033,56688145.1775513,39862.7497952043
23,Greater Rosemont,14.94,15.48,15.96884129,15.68955891,16.27646152,16.7531193,18.45204711,18.73417722,18.6638537271449,19.5918367346939,19.1133004926108,Greater Rosemont,18.60399662,16.9598874032372,42204384.5395508,32559.0762210022
24,Greenmount East,38.59,34.72,35.59990145,32.69466961,32.77886497,32.50978474,33.47426013,31.59463487,31.2468951813214,30.5084745762712,29.1930179610422,Oliver/Johnson Square,27.44750822,24.4624335947382,19072287.8234253,20797.4734579241
25,Hamilton,0.32,0.49,0.412087912,0.572344322,0.939505041,0.985334555,0.961098398,0.916380298,1.03092783505155,0.988051470588235,0.988051470588235,Hamilton,0.712316176,0.620404411764706,45191100.5600586,27712.1110915758
26,Harbor East/Little Italy,1.63,1.69,1.651917404,2.064896755,1.943462898,1.648998822,3.414351852,1.62037037,1.79398148148148,1.45495243424734,1.56687185226637,Harbor East/Little Italy,1.398210291,1.56687185226637,10215859.0839233,18552.4075815395
27,Harford/Echodale,0.2,0.27,0.317020012,0.534230313,0.95049505,1.207920792,0.951437066,0.93050881,0.772124331815482,0.730071033938437,0.710339384372534,Hamilton Hills,0.552377195,0.473559589581689,65360039.1699219,40019.1854001708
28,Highlandtown,1.04,1.13,1.609848485,1.704007573,1.214574899,1.152289007,1.486068111,1.817621688,1.57116451016636,1.51234567901235,1.2037037037037,Highlandtown,1.080246914,0.95679012345679,11684191.1183472,14976.1238513181
29,Howard Park/West Arlington,2.02,2.03,4.054482103,2.280646183,2.441344325,2.694990488,2.668360864,2.418071906,2.19535475660197,2.00254291163382,1.74825174825175,Howard Park/West Arlington,1.621106167,1.3986013986014,63262430.0732422,36034.4984469541
30,Inner Harbor/Federal Hill,0.56,0.45,0.403429148,0.470272086,0.550734312,0.517356475,0.483413902,0.333834084,0.350525788683025,0.351817724912046,0.385324174903669,Inner Harbor/Federal Hill,0.36857095,0.30155804992461,24995836.2617188,43415.0595480129
31,Lauraville,0.67,0.83,1.228226887,1.451216789,1.608938547,1.944134078,2.101497876,1.677852349,1.47651006711409,1.50527971242417,1.21321051449113,Greater Lauraville,1.008742434,1.14580993035273,49665744.2380981,34419.6765279127
32,Loch Raven,0.14,0.07,0.118175372,0.330891042,0.591296121,0.638599811,0.615238997,0.615384615,0.591715976331361,0.521574205784732,0.403034613560929,Loch Raven,0.403034614,0.521574205784732,44147812.3262329,29314.3346716869
33,Madison/East End,25.71,22.69,20.70361146,20.66090179,20.14210689,19.89496447,18.40148699,19.42468296,20.0433034333436,19.7795468462952,18.7385180649112,Madison/East End,16.28903858,12.6454378444581,8897845.19134521,13120.1587193706
34,Medfield/Hampden/Woodberry/Remington,0.96,0.85,0.995838288,0.874462724,0.822320117,0.734214391,0.699300699,0.728119994,0.815494393476045,0.831752517145775,0.656646724062454,Hampden/Remington,0.568678915,0.744199620604115,62441489.2391968,43152.6256993045
35,Midtown,5.31,4.74,4.051296998,3.604651163,2.935193258,2.702702703,4.218077475,2.030311696,1.60137260509008,1.31578947368421,1.17276887871854,Midtown,1.000857878,0.943935926773456,23823949.9293823,25020.0969697152
36,Midway/Coldstream,16.62,16.23,17.68248615,18.90067502,20.88392424,20.03399709,28.16764133,20.46454768,21.1491442542787,21.3950037101162,19.812020776651,Midway/Coldstream,19.98515953,17.808558001484,17884471.2858276,22767.8274161928
37,Morrell Park/Violetville,1.61,1.64,1.807802093,1.838934686,2.187698161,2.155992391,2.253252936,2.062182741,2.06218274111675,2.06087507926443,1.93405199746354,Morrell Park/Violetville,1.934051997,2.06087507926443,67470845.9886475,44412.7451302995
38,Mount Washington/Coldspring,0.05,0.05,0.054734537,0.054734537,0.054644809,0.109289617,0.217273221,0.162954916,0.217273221075502,0.162954915806627,0.162954915806627,Mount Washington/Coldspring,0.162954916,0.217273221075502,56943058.6503296,38539.7661484657
39,North Baltimore/Guilford/Homeland,0.2,0.23,0.176852034,0.392772977,0.471050049,0.372914622,0.352526439,0.450538688,0.470127326150833,0.392233771327711,0.451068837026868,North Baltimore/Guilford/Homeland,0.313787017,0.274563639929398,74923987.6956787,42904.2221443013
40,Northwood,0.17,0.3,0.406939387,0.449967859,0.749946432,0.792800514,0.643086817,0.665093328,0.643638704140742,0.601503759398496,0.472610096670247,Northwood,0.45112782,0.494092373791622,52743271.7686768,38889.8945907607
41,Oldtown/Middle East,40.13,41.67,37.34265734,34.67128028,24.81654436,26.61774516,18.08650066,14.16765053,13.5182998819362,11.7577895355673,9.93533215755438,Oldtown/Middle East,8.34803057,6.46678424456202,24585968.2338257,23866.3281788792
42,Orangeville/East Highlandtown,1.37,1.34,1.406896552,1.544827586,1.55018392,1.55018392,1.376981034,1.458385718,1.50867488056324,1.23394610929237,1.13321581465626,Greektown/Bayview,1.233946109,1.66204986149584,89894372.211731,47825.8629264979
43,Patterson Park North & East,5.33,4.61,4.387482309,3.7863315,3.622392975,3.559667555,2.831221649,3.518373729,3.64347146207975,3.79250901112678,3.47907851433945,Patterson Park North & East,3.385049365,3.02460429399781,14507643.2045898,21786.3746600472
44,Penn North/Reservoir Hill,16.36,16.07,16.00671141,16.26970815,15.81769437,16.3538874,15.35393819,16.26746507,16.5668662674651,16.8280467445743,15.8263772954925,Penn North/Reservoir Hill,15.12520868,13.4223706176962,41059796.6775513,29078.838498563
45,Pimlico/Arlington/Hilltop,13.07,12.98,13.17258883,13.4502924,14.17624521,14.86590038,15.43416645,17.02347176,16.8945060613877,15.9442724458204,14.9896800825593,Pimlico/Arlington/Hilltop,14.37048504,12.280701754386,30400962.005127,24725.9340692696
46,Poppleton/The Terraces/Hollins Market,18.73,16.56,15.26661797,15.48575603,16.43433602,15.26045488,12.17901687,14.27525622,13.5431918008785,10.9720176730486,9.27835051546392,Poppleton/The Terraces/Hollins Market,7.799852833,8.10014727540501,9302012.9989624,12334.0275347987
47,Sandtown-Winchester/Harlem Park,30.99,32.62,33.09719934,34.33377309,35.03384514,35.4300809,29.97012944,35.13334438,34.818618519132,32.5367647058824,31.951871657754,Sandtown-Winchester/Harlem Park,31.30013369,28.442513368984,23672092.8683472,20987.1433065928
48,South Baltimore,0.97,0.48,0.237107291,0.385413578,0.501919102,0.38382049,0.406740267,0.232355504,0.232355503920999,0.290444379901249,0.203311065930874,South Baltimore,0.203311066,0.1161777519605,46353935.4252319,68440.0258268833
49,Southeastern,0.54,0.66,0.934065934,2.019650655,1.911523758,1.802293829,1.302224634,1.256830601,1.4207650273224,0.92041147807255,1.08283703302653,Southeastern,1.136978885,1.0286951813752,111251478.4729,102291.480548125
50,Southern Park Heights,17.71,17.41,17.12431353,18.52963241,19.56358164,19.88964133,20.54619704,20.85889571,19.3762781186094,18.8431876606684,18.0205655526992,Southern Park Heights,17.45501285,14.0616966580977,27876227.5904541,24052.2213721285
51,Southwest Baltimore,25.2,25.02,25.90251611,27.07800901,27.81143965,28.06592341,25.9169298,29.74614357,29.8918984574274,30.6907854801505,29.9138035692607,Southwest Baltimore,29.35534782,28.4691028286998,37766068.8363647,28355.5635814235
52,The Waverlies,3.45,3.69,3.866171004,4.089219331,4.498141264,4.609665428,4.3915147,4.729981378,5.13966480446927,4.67639356528245,4.33969322858212,The Waverlies,3.889304413,2.88065843621399,20383750.5446777,18733.826879793
53,Upton/Druid Heights,35.47,33.96,34.32419879,33.67346939,34.16551086,33.98058252,30.76923077,30.01893939,29.9242424242424,28.5178236397749,27.0168855534709,Upton/Druid Heights,26.31332083,23.3583489681051,16976622.3378906,19389.3078211672
54,Washington Village/Pigtown,8.72,7.87,7.934782609,7.502718376,7.238026647,6.805905654,6.784554313,6.536655832,6.17551462621885,6.01667270750272,5.72671257702066,Pigtown/Carroll Park,5.690467561,5.00181225081551,39343262.0380249,36962.2600945934
55,Westport/Mount Winans/Lakeland,8.06,8.41,8.626347867,8.434864105,6.165343298,6.539000467,6.343283582,6.949626866,6.99626865671642,7.15946071594607,7.39191073919107,Westport/Mount Winans/Lakeland,7.856810786,8.08926080892608,45494092.9498291,42573.124416343
